site,plot,subplot,taxa,cover,date,note_cover
Cowichan,1,A,Geranium molle,5,2021,
Cowichan,1,A,Lomatium utriculatum,5,2021,
Cowichan,1,A,Lotus micranthus,1,2021,
Cowichan,1,A,Nemophila parviflora,1,2021,
Cowichan,1,A,Plectritis congesta,8,2021,
Cowichan,1,A,Ranunculus occidentalis,5,2021,
Cowichan,1,A,Valerianella locusta,3,2021,
Cowichan,1,A,Vicia hirsuta,2,2021,
Cowichan,1,A,Vicia sativa,4,2021,
Cowichan,1,A,Luzula,2,2021,
Cowichan,1,A,Pseudostuga menziesii,1,2021,
Cowichan,1,A,Leucanthemum vulgare,2,2021,
Cowichan,2,A,Bare Soil,0,2021,
Cowichan,2,A,Moss,5,2021,
Cowichan,2,A,Litter,50,2021,
Cowichan,2,A,Anthoxanthum odoratum,1,2021,
Cowichan,2,A,Bromus sterilis,1,2021,
Cowichan,2,A,Carex inops,10,2021,
Cowichan,2,A,Dactylis glomerata,8,2021,
Cowichan,2,A,Poa pratensis,3,2021,
Cowichan,2,A,Camassia quamash,3,2021,
Cowichan,2,A,Cerastium arvense,1,2021,
Cowichan,2,A,Cerastium glomeratum,1,2021,
Cowichan,2,A,Claytonia perfoliata,1,2021,
Cowichan,2,A,Delphinium menziesii,3,2021,
Cowichan,2,A,Dodecatheon hendersonii,2,2021,
Cowichan,2,A,Erythronium oregonum,4,2021,
Cowichan,2,A,Galium aparine,2,2021,
Cowichan,2,A,Geranium molle,8,2021,
Cowichan,2,A,Lomatium utriculatum,8,2021,
Cowichan,2,A,Myosotis discolor,1,2021,
Cowichan,2,A,Plectritis congesta,4,2021,
Cowichan,2,A,Sanicula crassicaulis,1,2021,
Cowichan,2,A,Trifolium dubium,2,2021,
Cowichan,2,A,Valerianella locusta,10,2021,
Cowichan,2,A,Veronica arvensis,2,2021,
Cowichan,2,A,Vicia hirsuta,2,2021,
Cowichan,2,A,Vicia sativa,3,2021,
Cowichan,2,A,Vulpia sp.,5,2021,
Cowichan,2,A,Luzula,2,2021,
Cowichan,2,A,Torilis arvensis,1,2021,
Cowichan,3,A,Bare Soil,0,2021,
Cowichan,3,A,Moss,5,2021,
Cowichan,3,A,Litter,40,2021,
Cowichan,3,A,Bromus sterilis,50,2021,
Cowichan,3,A,Dactylis glomerata,10,2021,
Cowichan,3,A,Elymus glaucus,2,2021,
Cowichan,3,A,Melica subulata,8,2021,
Cowichan,3,A,Poa pratensis,2,2021,
Cowichan,3,A,Cerastium arvense,1,2021,
Cowichan,3,A,Cerastium glomeratum,2,2021,
Cowichan,3,A,Delphinium menziesii,4,2021,
Cowichan,3,A,Erythronium oregonum,5,2021,
Cowichan,3,A,Galium aparine,2,2021,
Cowichan,3,A,Geranium molle,1,2021,
Cowichan,3,A,Nemophila parviflora,1,2021,
Cowichan,3,A,Plectritis congesta,5,2021,
Cowichan,3,A,Valerianella locusta,1,2021,
Cowichan,3,A,Vicia hirsuta,1,2021,
Cowichan,3,A,Vicia sativa,1,2021,
Cowichan,3,A,Quercus garryana,7,2021,
Cowichan,3,A,Symphoricarpos albus,20,2021,
Cowichan,4,A,Bare Soil,0,2021,
Cowichan,4,A,Moss,7,2021,
Cowichan,4,A,Litter,20,2021,
Cowichan,4,A,Anthoxanthum odoratum,10,2021,
Cowichan,4,A,Bromus sterilis,25,2021,
Cowichan,4,A,Dactylis glomerata,4,2021,
Cowichan,4,A,Danthonia californica,9,2021,
Cowichan,4,A,Melica subulata,15,2021,
Cowichan,4,A,Poa pratensis,4,2021,
Cowichan,4,A,Cerastium glomeratum,2,2021,
Cowichan,4,A,Claytonia perfoliata,1,2021,
Cowichan,4,A,Delphinium menziesii,2,2021,
Cowichan,4,A,Erythronium oregonum,3,2021,
Cowichan,4,A,Geranium molle,3,2021,
Cowichan,4,A,Lathyrus sphaericus,2,2021,
Cowichan,4,A,Lomatium utriculatum,10,2021,
Cowichan,4,A,Nemophila parviflora,1,2021,
Cowichan,4,A,Ranunculus occidentalis,6,2021,
Cowichan,4,A,Sanicula crassicaulis,5,2021,
Cowichan,4,A,Valerianella locusta,6,2021,
Cowichan,4,A,Veronica arvensis,1,2021,
Cowichan,4,A,Vicia hirsuta,4,2021,
Cowichan,4,A,Vicia sativa,6,2021,
Cowichan,4,A,Symphoricarpos albus,8,2021,
Cowichan,4,A,Vulpia sp.,1,2021,
Cowichan,5,A,Bare Soil,0,2021,
Cowichan,5,A,Moss,5,2021,
Cowichan,5,A,Litter,60,2021,
Cowichan,5,A,Anthoxanthum odoratum,5,2021,
Cowichan,5,A,Bromus carinatus,5,2021,
Cowichan,5,A,Bromus sterilis,20,2021,
Cowichan,5,A,Carex inops,5,2021,
Cowichan,5,A,Camassia quamash,3,2021,
Cowichan,5,A,Cerastium glomeratum,1,2021,
Cowichan,5,A,Claytonia perfoliata,1,2021,
Cowichan,5,A,Delphinium menziesii,3,2021,
Cowichan,5,A,Dodecatheon hendersonii,3,2021,
Cowichan,5,A,Erythronium oregonum,2,2021,
Cowichan,5,A,Geranium molle,8,2021,
Cowichan,5,A,Lomatium utriculatum,7,2021,
Cowichan,5,A,Plectritis congesta,10,2021,
Cowichan,5,A,Ranunculus occidentalis,2,2021,
Cowichan,5,A,Valerianella locusta,1,2021,
Cowichan,5,A,Veronica arvensis,1,2021,
Cowichan,5,A,Vicia hirsuta,3,2021,
Cowichan,5,A,Vicia sativa,4,2021,
Cowichan,5,A,Quercus garryana,8,2021,
Cowichan,5,A,Symphoricarpos albus,25,2021,
Cowichan,6,A,Bare Soil,0,2021,
Cowichan,6,A,Moss,0,2021,
Cowichan,6,A,Litter,5,2021,
Cowichan,6,A,Anthoxanthum odoratum,5,2021,
Cowichan,6,A,Bromus sterilis,12,2021,
Cowichan,6,A,Dactylis glomerata,6,2021,
Cowichan,6,A,Melica subulata,8,2021,
Cowichan,6,A,Poa pratensis,10,2021,
Cowichan,6,A,Achillea millefolium,3,2021,
Cowichan,6,A,Camassia quamash,8,2021,
Cowichan,6,A,Cerastium glomeratum,2,2021,
Cowichan,6,A,Claytonia perfoliata,1,2021,
Cowichan,6,A,Delphinium menziesii,20,2021,
Cowichan,6,A,Dodecatheon hendersonii,25,2021,
Cowichan,6,A,Erythronium oregonum,4,2021,
Cowichan,6,A,Geranium molle,3,2021,
Cowichan,6,A,Lomatium utriculatum,12,2021,
Cowichan,6,A,Plectritis congesta,25,2021,
Cowichan,6,A,Ranunculus occidentalis,5,2021,
Cowichan,6,A,Sanicula crassicaulis,5,2021,
Cowichan,6,A,Valerianella locusta,1,2021,
Cowichan,6,A,Veronica arvensis,1,2021,
Cowichan,6,A,Vicia hirsuta,1,2021,
Cowichan,6,A,Symphoricarpos albus,7,2021,
Cowichan,6,A,Torilis arvensis,1,2021,
Cowichan,6,A,Orobanche uniflora,2,2021,
Cowichan,7,A,Bare Soil,0,2021,
Cowichan,7,A,Moss,30,2021,
Cowichan,7,A,Litter,35,2021,
Cowichan,7,A,Anthoxanthum odoratum,15,2021,
Cowichan,7,A,Bromus carinatus,2,2021,
Cowichan,7,A,Bromus sterilis,2,2021,
Cowichan,7,A,Dactylis glomerata,2,2021,
Cowichan,7,A,Melica subulata,20,2021,
Cowichan,7,A,Poa pratensis,2,2021,
Cowichan,7,A,Camassia quamash,2,2021,
Cowichan,7,A,Cerastium glomeratum,2,2021,
Cowichan,7,A,Claytonia perfoliata,1,2021,
Cowichan,7,A,Delphinium menziesii,6,2021,
Cowichan,7,A,Dodecatheon hendersonii,3,2021,
Cowichan,7,A,Erythronium oregonum,1,2021,
Cowichan,7,A,Galium aparine,6,2021,
Cowichan,7,A,Geranium molle,1,2021,
Cowichan,7,A,Lomatium utriculatum,4,2021,
Cowichan,7,A,Nemophila parviflora,1,2021,
Cowichan,7,A,Plectritis congesta,25,2021,
Cowichan,7,A,Ranunculus occidentalis,1,2021,
Cowichan,7,A,Sanicula crassicaulis,1,2021,
Cowichan,7,A,Veronica arvensis,1,2021,
Cowichan,7,A,Vicia hirsuta,1,2021,
Cowichan,7,A,Vicia sativa,1,2021,
Cowichan,7,A,Symphoricarpos albus,12,2021,
Cowichan,7,A,Allium amplectens,1,2021,
Cowichan,7,A,Pseudostuga menziesii,1,2021,
Cowichan,8,A,Bare Soil,0,2021,
Cowichan,8,A,Moss,15,2021,
Cowichan,8,A,Litter,10,2021,
Cowichan,8,A,Bromus sterilis,4,2021,
Cowichan,8,A,Elymus glaucus,2,2021,
Cowichan,8,A,Dactylis glomerata,12,2021,
Cowichan,8,A,Melica subulata,2,2021,
Cowichan,8,A,Poa pratensis,2,2021,
Cowichan,8,A,Camassia quamash,3,2021,
Cowichan,8,A,Cerastium glomeratum,2,2021,
Cowichan,8,A,Claytonia perfoliata,3,2021,
Cowichan,8,A,Delphinium menziesii,2,2021,
Cowichan,8,A,Dodecatheon hendersonii,2,2021,
Cowichan,8,A,Galium aparine,4,2021,
Cowichan,8,A,Geranium molle,2,2021,
Cowichan,8,A,Nemophila parviflora,2,2021,
Cowichan,8,A,Plectritis congesta,15,2021,
Cowichan,8,A,Ranunculus occidentalis,1,2021,
Cowichan,8,A,Sanicula crassicaulis,2,2021,
Cowichan,8,A,Valerianella locusta,1,2021,
Cowichan,8,A,Vicia hirsuta,1,2021,
Cowichan,8,A,Quercus garryana,2,2021,
Cowichan,8,A,Symphoricarpos albus,60,2021,
Cowichan,8,A,Allium amplectens,35,2021,
Cowichan,8,A,Bromus hordeaceus,2,2021,
Cowichan,9,A,Bare Soil,0,2021,
Cowichan,9,A,Moss,0,2021,
Cowichan,9,A,Litter,30,2021,
Cowichan,9,A,Anthoxanthum odoratum,8,2021,
Cowichan,9,A,Dactylis glomerata,6,2021,
Cowichan,9,A,Elymus glaucus,4,2021,
Cowichan,9,A,Melica subulata,25,2021,
Cowichan,9,A,Poa pratensis,4,2021,
Cowichan,9,A,Cerastium glomeratum,1,2021,
Cowichan,9,A,Claytonia perfoliata,1,2021,
Cowichan,9,A,Delphinium menziesii,8,2021,
Cowichan,9,A,Dodecatheon hendersonii,1,2021,
Cowichan,9,A,Erythronium oregonum,2,2021,
Cowichan,9,A,Galium aparine,2,2021,
Cowichan,9,A,Geranium molle,2,2021,
Cowichan,9,A,Lathyrus sphaericus,3,2021,
Cowichan,9,A,Lomatium utriculatum,3,2021,
Cowichan,9,A,Nemophila parviflora,2,2021,
Cowichan,9,A,Plectritis congesta,12,2021,
Cowichan,9,A,Ranunculus occidentalis,3,2021,
Cowichan,9,A,Sanicula crassicaulis,4,2021,
Cowichan,9,A,Valerianella locusta,1,2021,
Cowichan,9,A,Vicia hirsuta,2,2021,
Cowichan,9,A,Vicia sativa,3,2021,
Cowichan,9,A,Berberis aquifolium,7,2021,
Cowichan,9,A,Symphoricarpos albus,40,2021,
Cowichan,9,A,Clinopodium douglasii,2,2021,
Cowichan,9,A,Luzula,1,2021,
Cowichan,10,A,Bare Soil,0,2021,
Cowichan,10,A,Moss,0,2021,
Cowichan,10,A,Litter,30,2021,
Cowichan,10,A,Anthoxanthum odoratum,4,2021,
Cowichan,10,A,Bromus sterilis,1,2021,
Cowichan,10,A,Dactylis glomerata,5,2021,
Cowichan,10,A,Elymus glaucus,12,2021,
Cowichan,10,A,Melica subulata,45,2021,
Cowichan,10,A,Poa pratensis,5,2021,
Cowichan,10,A,Cerastium glomeratum,2,2021,
Cowichan,10,A,Claytonia perfoliata,9,2021,
Cowichan,10,A,Erythronium oregonum,3,2021,
Cowichan,10,A,Galium aparine,1,2021,
Cowichan,10,A,Geranium molle,3,2021,
Cowichan,10,A,Lathyrus sphaericus,1,2021,
Cowichan,10,A,Lomatium utriculatum,1,2021,
Cowichan,10,A,Nemophila parviflora,1,2021,
Cowichan,10,A,Plectritis congesta,3,2021,
Cowichan,10,A,Ranunculus occidentalis,2,2021,
Cowichan,10,A,Sanicula crassicaulis,3,2021,
Cowichan,10,A,Valerianella locusta,3,2021,
Cowichan,10,A,Vicia hirsuta,1,2021,
Cowichan,10,A,Vicia sativa,3,2021,
Cowichan,10,A,Quercus garryana,4,2021,
Cowichan,10,A,Symphoricarpos albus,5,2021,
Cowichan,10,A,Bromus hordeaceus,1,2021,
Cowichan,10,A,Moehringia macrophylla,2,2021,
Cowichan,11,A,Bare Soil,0,2021,
Cowichan,11,A,Moss,20,2021,
Cowichan,11,A,Litter,30,2021,
Cowichan,11,A,Anthoxanthum odoratum,10,2021,
Cowichan,11,A,Carex inops,6,2021,
Cowichan,11,A,Dactylis glomerata,3,2021,
Cowichan,11,A,Melica subulata,25,2021,
Cowichan,11,A,Poa pratensis,15,2021,
Cowichan,11,A,Cerastium glomeratum,1,2021,
Cowichan,11,A,Claytonia perfoliata,1,2021,
Cowichan,11,A,Erythronium oregonum,1,2021,
Cowichan,11,A,Galium aparine,2,2021,
Cowichan,11,A,Geranium molle,2,2021,
Cowichan,11,A,Lathyrus sphaericus,3,2021,
Cowichan,11,A,Nemophila parviflora,1,2021,
Cowichan,11,A,Ranunculus occidentalis,1,2021,
Cowichan,11,A,Sanicula crassicaulis,3,2021,
Cowichan,11,A,Valerianella locusta,15,2021,
Cowichan,11,A,Veronica arvensis,1,2021,
Cowichan,11,A,Vicia hirsuta,2,2021,
Cowichan,11,A,Vicia sativa,4,2021,
Cowichan,11,A,Symphoricarpos albus,12,2021,
Cowichan,11,A,Luzula,1,2021,
Cowichan,11,A,Cirsium vulgare,1,2021,
Cowichan,11,A,Lonicera hispidula,5,2021,
Cowichan,12,A,Bare Soil,0,2021,
Cowichan,12,A,Moss,40,2021,
Cowichan,12,A,Litter,35,2021,
Cowichan,12,A,Anthoxanthum odoratum,25,2021,
Cowichan,12,A,Bromus carinatus,2,2021,
Cowichan,12,A,Carex inops,25,2021,
Cowichan,12,A,Dactylis glomerata,2,2021,
Cowichan,12,A,Poa pratensis,8,2021,
Cowichan,12,A,Delphinium menziesii,1,2021,
Cowichan,12,A,Dodecatheon hendersonii,1,2021,
Cowichan,12,A,Erythronium oregonum,1,2021,
Cowichan,12,A,Galium aparine,1,2021,
Cowichan,12,A,Geranium molle,1,2021,
Cowichan,12,A,Lathyrus sphaericus,2,2021,
Cowichan,12,A,Lomatium utriculatum,3,2021,
Cowichan,12,A,Lotus micranthus,8,2021,
Cowichan,12,A,Myosotis discolor,1,2021,
Cowichan,12,A,Ranunculus occidentalis,1,2021,
Cowichan,12,A,Sanicula crassicaulis,2,2021,
Cowichan,12,A,Valerianella locusta,2,2021,
Cowichan,12,A,Vicia hirsuta,2,2021,
Cowichan,12,A,Vicia sativa,4,2021,
Cowichan,12,A,Leucanthemum vulgare,2,2021,
Cowichan,12,A,Luzula,3,2021,
Cowichan,13,A,Bare Soil,0,2021,
Cowichan,13,A,Moss,30,2021,
Cowichan,13,A,Litter,50,2021,
Cowichan,13,A,Anthoxanthum odoratum,5,2021,
Cowichan,13,A,Bromus carinatus,4,2021,
Cowichan,13,A,Bromus sterilis,35,2021,
Cowichan,13,A,Carex inops,1,2021,
Cowichan,13,A,Dactylis glomerata,4,2021,
Cowichan,13,A,Poa pratensis,5,2021,
Cowichan,13,A,Cerastium glomeratum,1,2021,
Cowichan,13,A,Claytonia perfoliata,3,2021,
Cowichan,13,A,Dodecatheon hendersonii,3,2021,
Cowichan,13,A,Erythronium oregonum,2,2021,
Cowichan,13,A,Galium aparine,1,2021,
Cowichan,13,A,Geranium molle,2,2021,
Cowichan,13,A,Lathyrus sphaericus,1,2021,
Cowichan,13,A,Lomatium nudicaule,3,2021,
Cowichan,13,A,Lomatium utriculatum,15,2021,
Cowichan,13,A,Plectritis congesta,8,2021,
Cowichan,13,A,Valerianella locusta,4,2021,
Cowichan,13,A,Veronica arvensis,2,2021,
Cowichan,13,A,Vicia hirsuta,1,2021,
Cowichan,13,A,Vicia sativa,4,2021,
Cowichan,14,A,Bare Soil,0,2021,
Cowichan,14,A,Moss,35,2021,
Cowichan,14,A,Litter,40,2021,
Cowichan,14,A,Anthoxanthum odoratum,12,2021,
Cowichan,14,A,Bromus carinatus,1,2021,
Cowichan,14,A,Bromus sterilis,5,2021,
Cowichan,14,A,Carex inops,4,2021,
Cowichan,14,A,Dactylis glomerata,7,2021,
Cowichan,14,A,Elymus glaucus,15,2021,
Cowichan,14,A,Poa pratensis,5,2021,
Cowichan,14,A,Achillea millefolium,5,2021,
Cowichan,14,A,Claytonia perfoliata,2,2021,
Cowichan,14,A,Dodecatheon hendersonii,2,2021,
Cowichan,14,A,Galium aparine,1,2021,
Cowichan,14,A,Geranium molle,1,2021,
Cowichan,14,A,Lathyrus sphaericus,1,2021,
Cowichan,14,A,Lomatium utriculatum,3,2021,
Cowichan,14,A,Nemophila parviflora,1,2021,
Cowichan,14,A,Plantago lanceolata,2,2021,
Cowichan,14,A,Plectritis congesta,4,2021,
Cowichan,14,A,Rumex acetosella,5,2021,
Cowichan,14,A,Sanicula crassicaulis,4,2021,
Cowichan,14,A,Valerianella locusta,1,2021,
Cowichan,14,A,Vicia hirsuta,2,2021,
Cowichan,14,A,Vicia sativa,4,2021,
Cowichan,14,A,Symphoricarpos albus,35,2021,
Cowichan,14,A,Clinopodium douglasii,5,2021,
Cowichan,14,A,Torilis arvensis,1,2021,
Cowichan,14,A,Bromus hordeaceus,2,2021,
Cowichan,15,A,Bare Soil,0,2021,
Cowichan,15,A,Moss,25,2021,
Cowichan,15,A,Litter,30,2021,
Cowichan,15,A,Allium amplectens,3,2021,
Cowichan,15,A,Anthoxanthum odoratum,5,2021,
Cowichan,15,A,Bromus carinatus,2,2021,
Cowichan,15,A,Bromus sterilis,30,2021,
Cowichan,15,A,Carex inops,1,2021,
Cowichan,15,A,Dactylis glomerata,3,2021,
Cowichan,15,A,Melica subulata,2,2021,
Cowichan,15,A,Poa pratensis,1,2021,
Cowichan,15,A,Camassia quamash,1,2021,
Cowichan,15,A,Cerastium glomeratum,2,2021,
Cowichan,15,A,Claytonia perfoliata,1,2021,
Cowichan,15,A,Dodecatheon hendersonii,2,2021,
Cowichan,15,A,Erythronium oregonum,5,2021,
Cowichan,15,A,Geranium molle,4,2021,
Cowichan,15,A,Lomatium utriculatum,3,2021,
Cowichan,15,A,Nemophila parviflora,1,2021,
Cowichan,15,A,Plectritis congesta,15,2021,
Cowichan,15,A,Ranunculus occidentalis,1,2021,
Cowichan,15,A,Sanicula crassicaulis,2,2021,
Cowichan,15,A,Valerianella locusta,2,2021,
Cowichan,15,A,Vicia hirsuta,1,2021,
Cowichan,15,A,Vicia sativa,1,2021,
Cowichan,15,A,Berberis aquifolium,40,2021,
